"","GO.ID","Term","Annotated","Significant","Expected","weightKS"
"1","GO:0001958","endochondral ossification",19,2,0.35,"0.00036"
"2","GO:0051216","cartilage development",111,6,2.05,"0.00040"
"3","GO:0090090","negative regulation of canonical Wnt sig...",48,1,0.89,"0.00040"
"4","GO:0002062","chondrocyte differentiation",59,4,1.09,"0.00042"
"5","GO:0006695","cholesterol biosynthetic process",23,0,0.42,"0.00043"
"6","GO:0032963","collagen metabolic process",26,2,0.48,"0.00123"
"7","GO:0010801","negative regulation of peptidyl-threonin...",5,2,0.09,"0.00175"
"8","GO:0007569","cell aging",29,0,0.54,"0.00183"
"9","GO:0002063","chondrocyte development",17,3,0.31,"0.00188"
"10","GO:0046676","negative regulation of insulin secretion",17,1,0.31,"0.00212"
