"","GO.ID","Term","Annotated","Significant","Expected","weightKS"
"1","GO:0051301","cell division",330,4,4.3,"1.1e-05"
"2","GO:0051603","proteolysis involved in cellular protein...",191,4,2.49,"0.00011"
"3","GO:0070527","platelet aggregation",32,2,0.42,"0.00012"
"4","GO:0030097","hemopoiesis",359,6,4.68,"0.00018"
"5","GO:0032760","positive regulation of tumor necrosis fa...",27,0,0.35,"0.00027"
"6","GO:0048661","positive regulation of smooth muscle cel...",26,0,0.34,"0.00028"
"7","GO:0007049","cell cycle",698,13,9.09,"0.00035"
"8","GO:0000910","cytokinesis",64,1,0.83,"0.00041"
"9","GO:0016601","Rac protein signal transduction",19,0,0.25,"0.00044"
"10","GO:0032496","response to lipopolysaccharide",141,2,1.84,"0.00051"
